start_time,end_time,duration
2016-03-19T17:56:00-04:00,2016-03-19T23:21:00-04:00,325
2016-03-19T10:15:00-04:00,2016-03-19T10:16:00-04:00,1
2016-03-19T09:40:00-04:00,2016-03-19T10:07:00-04:00,27
2016-03-19T09:19:00-04:00,2016-03-19T09:20:00-04:00,1
2016-03-19T08:49:00-04:00,2016-03-19T09:01:00-04:00,12
2016-03-19T03:43:00-04:00,2016-03-19T03:49:00-04:00,6
2016-03-19T01:27:00-04:00,2016-03-19T01:28:00-04:00,1
2016-03-18T21:40:00-04:00,2016-03-18T23:33:00-04:00,113
2016-03-18T21:20:00-04:00,2016-03-18T21:23:00-04:00,3
2016-03-18T13:02:00-04:00,2016-03-18T18:41:00-04:00,339
2016-03-18T12:39:00-04:00,2016-03-18T12:41:00-04:00,2
2016-03-18T11:39:00-04:00,2016-03-18T11:40:00-04:00,1
2016-03-18T11:23:00-04:00,2016-03-18T11:24:00-04:00,1
2016-03-18T09:58:00-04:00,2016-03-18T09:59:00-04:00,1
2016-03-18T09:13:00-04:00,2016-03-18T09:14:00-04:00,1
2016-03-18T08:43:00-04:00,2016-03-18T09:08:00-04:00,25
2016-03-18T08:10:00-04:00,2016-03-18T08:26:00-04:00,16
2016-03-18T07:31:00-04:00,2016-03-18T08:02:00-04:00,31
2016-03-18T03:49:00-04:00,2016-03-18T04:18:00-04:00,29
2016-03-18T03:25:00-04:00,2016-03-18T03:30:00-04:00,5
2016-03-18T02:29:00-04:00,2016-03-18T02:31:00-04:00,2
2016-03-18T02:04:00-04:00,2016-03-18T02:06:00-04:00,2
2016-03-17T23:08:00-04:00,2016-03-17T23:10:00-04:00,2
2016-03-17T22:06:00-04:00,2016-03-17T22:07:00-04:00,1
2016-03-17T15:55:00-04:00,2016-03-17T21:05:00-04:00,310
2016-03-17T14:16:00-04:00,2016-03-17T15:00:00-04:00,44
2016-03-17T12:35:00-04:00,2016-03-17T12:53:00-04:00,18
2016-03-17T11:07:00-04:00,2016-03-17T11:52:00-04:00,45
2016-03-17T10:52:00-04:00,2016-03-17T10:54:00-04:00,2
2016-03-17T04:49:00-04:00,2016-03-17T05:04:00-04:00,15
2016-03-17T01:07:00-04:00,2016-03-17T01:18:00-04:00,11
2016-03-16T20:49:00-04:00,2016-03-16T20:51:00-04:00,2
2016-03-16T16:33:00-04:00,2016-03-16T16:41:00-04:00,8
2016-03-16T11:04:00-04:00,2016-03-16T11:05:00-04:00,1
2016-03-16T10:48:00-04:00,2016-03-16T10:49:00-04:00,1
2016-03-16T10:27:00-04:00,2016-03-16T10:37:00-04:00,10
2016-03-16T02:46:00-04:00,2016-03-16T02:50:00-04:00,4
2016-03-16T02:11:00-04:00,2016-03-16T02:29:00-04:00,18
2016-03-15T12:59:00-04:00,2016-03-15T15:04:00-04:00,125
2016-03-15T09:17:00-04:00,2016-03-15T09:20:00-04:00,3
2016-03-15T01:24:00-04:00,2016-03-15T01:25:00-04:00,1
2016-03-14T16:33:00-04:00,2016-03-14T16:34:00-04:00,1
2016-03-14T10:36:00-04:00,2016-03-14T11:42:00-04:00,66
2016-03-14T09:59:00-04:00,2016-03-14T10:08:00-04:00,9
2016-03-14T09:43:00-04:00,2016-03-14T09:58:00-04:00,15
2016-03-14T09:38:00-04:00,2016-03-14T09:42:00-04:00,4
2016-03-14T09:29:00-04:00,2016-03-14T09:31:00-04:00,2
2016-03-14T09:23:00-04:00,2016-03-14T09:28:00-04:00,5
2016-03-13T17:44:00-04:00,2016-03-13T17:56:00-04:00,12
2016-03-13T17:19:00-04:00,2016-03-13T17:21:00-04:00,2
2016-03-13T16:20:00-04:00,2016-03-13T16:21:00-04:00,1
2016-03-13T13:20:00-04:00,2016-03-13T13:22:00-04:00,2
2016-03-13T13:16:00-04:00,2016-03-13T13:19:00-04:00,3
2016-03-13T13:11:00-04:00,2016-03-13T13:15:00-04:00,4
2016-03-13T11:04:00-04:00,2016-03-13T11:06:00-04:00,2
2016-03-13T08:11:00-04:00,2016-03-13T08:15:00-04:00,4
2016-03-13T01:49:00-05:00,2016-03-13T03:11:00-04:00,22
2016-03-12T18:39:00-05:00,2016-03-12T23:28:00-05:00,289
2016-03-12T18:20:00-05:00,2016-03-12T18:34:00-05:00,14
2016-03-12T17:41:00-05:00,2016-03-12T17:53:00-05:00,12
2016-03-12T16:12:00-05:00,2016-03-12T16:31:00-05:00,19
2016-03-12T15:25:00-05:00,2016-03-12T15:26:00-05:00,1
2016-03-12T09:24:00-05:00,2016-03-12T10:12:00-05:00,48
2016-03-12T08:31:00-05:00,2016-03-12T08:52:00-05:00,21
2016-03-12T08:05:00-05:00,2016-03-12T08:19:00-05:00,14
2016-03-12T03:14:00-05:00,2016-03-12T03:29:00-05:00,15
2016-03-12T02:55:00-05:00,2016-03-12T03:09:00-05:00,14
2016-03-12T01:56:00-05:00,2016-03-12T01:59:00-05:00,3
2016-03-12T01:38:00-05:00,2016-03-12T01:39:00-05:00,1
2016-03-12T01:35:00-05:00,2016-03-12T01:37:00-05:00,2
2016-03-11T21:42:00-05:00,2016-03-12T00:23:00-05:00,161
2016-03-11T21:25:00-05:00,2016-03-11T21:34:00-05:00,9
2016-03-11T21:09:00-05:00,2016-03-11T21:20:00-05:00,11
2016-03-11T20:48:00-05:00,2016-03-11T20:51:00-05:00,3
2016-03-11T20:03:00-05:00,2016-03-11T20:19:00-05:00,16
2016-03-11T19:50:00-05:00,2016-03-11T19:57:00-05:00,7
2016-03-11T19:27:00-05:00,2016-03-11T19:39:00-05:00,12
2016-03-11T18:17:00-05:00,2016-03-11T19:17:00-05:00,60
2016-03-11T17:33:00-05:00,2016-03-11T18:05:00-05:00,32
2016-03-11T15:51:00-05:00,2016-03-11T16:48:00-05:00,57
2016-03-11T12:35:00-05:00,2016-03-11T12:39:00-05:00,4
2016-03-11T11:08:00-05:00,2016-03-11T12:02:00-05:00,54
2016-03-11T08:49:00-05:00,2016-03-11T08:50:00-05:00,1
2016-03-11T07:57:00-05:00,2016-03-11T08:22:00-05:00,25
2016-03-11T07:35:00-05:00,2016-03-11T07:45:00-05:00,10
2016-03-11T02:54:00-05:00,2016-03-11T03:26:00-05:00,32
2016-03-11T02:15:00-05:00,2016-03-11T02:46:00-05:00,31
2016-03-11T01:42:00-05:00,2016-03-11T02:00:00-05:00,18
2016-03-11T01:33:00-05:00,2016-03-11T01:34:00-05:00,1
2016-03-11T00:25:00-05:00,2016-03-11T00:38:00-05:00,13
2016-03-11T00:16:00-05:00,2016-03-11T00:20:00-05:00,4
